fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	max_bin	min_gain_to_split	lambda_l1	lambda_l2	ganancia	iteracion
20220601 043205	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	4462	TRUE	0.00194390905965854	0.225373788135718	1079	1436	0.0170261810166582	0.00617317298402217	0.165210091826263	16.718582504621	37351000	84
20220601 043417	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1261	TRUE	0.0118031450080671	0.183750380505957	1654	1421	0.0169763095750297	0.00717638042277059	1.38895725777984	96.7958749699859	37243000	85
20220601 044054	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2634	TRUE	0.00310970200040346	0.384492447349842	1389	1496	0.0126481892394244	0.00769921624291573	4.92726874769643	0.338241312453115	37541000	86
20220601 044713	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	3197	TRUE	0.00260914953487335	0.343188750353776	4606	1499	0.0160740214141055	0.00555507000723267	27.5112480721318	12.5832594239801	36550000	87
20220601 045732	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	9490	TRUE	0.00167887174684027	0.110450472125666	2941	1425	0.0126522928182737	0.00813424225372327	0.0268888240078133	24.9484384912229	36638000	88
20220601 050055	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1208	TRUE	0.0116959386300827	0.483198543607738	563	1396	0.0124458691251043	0.00785667445739384	0.0705639777455402	37.4834284348446	37697000	89
20220601 050637	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2165	TRUE	0.00472743562396546	0.413672033845944	758	1238	0.012330088622146	0.0046755289219	0.081418561304045	24.1842774456677	37780000	90
20220601 051453	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	3807	TRUE	0.00358528684451708	0.412506566759515	1424	1461	0.0117783002570095	0.00657492797906016	0.396601253468194	46.0738811936518	37791000	91
20220601 051929	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1440	TRUE	0.00466690778145548	0.392584142940459	740	1372	0.0105234301542053	0.00666971232059143	0.0544711863263087	13.1548504666708	37332000	92
20220601 052124	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	706	TRUE	0.0137470965787307	0.48014969565738	1335	804	0.0123555935886375	0.00201540074918243	0.110146844399972	24.6993180530427	37734000	93
20220601 052710	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	2287	TRUE	0.00471687920350171	0.478341354022626	1029	1110	0.0121684791036904	0.00680573088617615	0.156512048021854	50.4522488934745	38020000	94
20220601 053034	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1523	TRUE	0.0104566238314191	0.442241456307874	1226	1110	0.0124476800843668	0.00670533766295088	0.00834906265065524	95.946487847198	37817000	95
20220601 053224	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	31	1357	TRUE	0.0116607891998145	0.12945136673361	5096	1095	0.0172633230486742	0.00212647847396037	1.56448345502343	99.9987593490165	36726000	96
