cp	max_depth	max_bucket	min_split	ganancia_promedio
-0.1	12	400	800	10086667
-0.1	12	400	600	10086667
-0.1	12	400	400	10086667
-0.1	12	400	200	10086667
-0.1	12	400	100	10086667
-0.1	12	400	50	10086667
-0.1	12	400	20	10086667
-0.1	12	400	10	10086667
-0.1	12	300	1000	9926667
-0.1	12	300	800	8710000
-0.1	12	300	600	7226667
-0.1	12	300	400	7226667
-0.1	12	300	200	7226667
-0.1	12	300	100	7226667
-0.1	12	300	50	7226667
-0.1	12	300	20	7226667
-0.1	12	300	10	7226667
-0.1	12	200	1000	9396667
-0.1	12	200	800	8830000
-0.1	12	200	600	7523333
-0.1	12	200	400	7666667
-0.1	12	200	200	7666667
-0.1	12	200	100	7666667
-0.1	12	200	50	7666667
-0.1	12	200	20	7666667
-0.1	12	200	10	7666667
-0.1	12	100	1000	7986667
-0.1	12	100	800	7973333
-0.1	12	100	600	8513333
-0.1	12	100	400	7020000
-0.1	12	100	200	7240000
-0.1	12	100	100	7240000
-0.1	12	100	50	7240000
-0.1	12	100	20	7240000
-0.1	12	100	10	7240000
-0.1	12	50	1000	8513333
-0.1	12	50	800	8730000
-0.1	12	50	600	8923333
-0.1	12	50	400	6473333
-0.1	12	50	200	6423333
-0.1	12	50	100	5956667
-0.1	12	50	50	5956667
-0.1	12	50	20	5956667
-0.1	12	50	10	5956667
-0.1	12	20	1000	8623333
-0.1	12	20	800	8963333
-0.1	12	20	600	9773333
-0.1	12	20	400	7740000
-0.1	12	20	200	7606667
-0.1	12	20	100	7763333
-0.1	12	20	50	7430000
-0.1	12	20	20	6960000
-0.1	12	20	10	6960000
-0.1	12	10	1000	10133333
-0.1	12	10	800	10513333
-0.1	12	10	600	10630000
-0.1	12	10	400	8843333
-0.1	12	10	200	9056667
-0.1	12	10	100	8806667
-0.1	12	10	50	8500000
-0.1	12	10	20	7193333
-0.1	12	10	10	7193333
-0.1	12	5	1000	10346667
-0.1	12	5	800	10303333
-0.1	12	5	600	10453333
-0.1	12	5	400	8656667
-0.1	12	5	200	8623333
-0.1	12	5	100	8430000
-0.1	12	5	50	8550000
-0.1	12	5	20	8300000
-0.1	12	5	10	8050000
-0.1	14	500	1000	10340000
-0.1	14	500	800	10340000
-0.1	14	500	600	10340000
-0.1	14	500	400	10340000
-0.1	14	500	200	10340000
-0.1	14	500	100	10340000
-0.1	14	500	50	10340000
-0.1	14	500	20	10340000
-0.1	14	500	10	10340000
-0.1	14	400	1000	10070000
-0.1	14	400	800	10086667
-0.1	14	400	600	10086667
-0.1	14	400	400	10086667
-0.1	14	400	200	10086667
-0.1	14	400	100	10086667
-0.1	14	400	50	10086667
-0.1	14	400	20	10086667
-0.1	14	400	10	10086667
-0.1	14	300	1000	9926667
-0.1	14	300	800	8710000
-0.1	14	300	600	7226667
-0.1	14	300	400	7226667
-0.1	14	300	200	7226667
-0.1	14	300	100	7226667
-0.1	14	300	50	7226667
-0.1	14	300	20	7226667
-0.1	14	300	10	7226667
-0.1	14	200	1000	9396667
-0.1	14	200	800	8830000
-0.1	14	200	600	7523333
-0.1	14	200	400	7666667
-0.1	14	200	200	7666667
-0.1	14	200	100	7666667
-0.1	14	200	50	7666667
-0.1	14	200	20	7666667
-0.1	14	200	10	7666667
-0.1	14	100	1000	7986667
-0.1	14	100	800	7973333
-0.1	14	100	600	8736667
-0.1	14	100	400	7333333
-0.1	14	100	200	7433333
-0.1	14	100	100	7433333
-0.1	14	100	50	7433333
