fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220531 011933	0	0	0	1	hist	lossguide	256	0	1	0.220757071693924	0.206916138861244	9	2	0.0180025757564315	214	13444000	61
20220531 012319	0	0	0	1	hist	lossguide	256	0	1	0.0117873683253747	0.997880036073416	10	787	0.0176649724689971	339	12062000	62
20220531 012346	0	0	0	1	hist	lossguide	256	0	1	0.104368591682482	0.997996428147936	9	7	0.0187472390134964	36	12339000	63
20220531 012421	0	0	0	1	hist	lossguide	256	0	1	0.177968544000623	0.47841656207007	10	2	0.0177601217829561	178	13045000	64
20220531 012527	0	0	0	1	hist	lossguide	256	0	1	0.0678465425849042	0.255013342910033	10	2	0.0184266129003172	418	13513000	65
20220531 012842	0	0	0	1	hist	lossguide	256	0	1	0.0103378449034736	0.906454952027795	9	577	0.0116901132098451	138	13225000	66
20220531 013129	0	0	0	1	hist	lossguide	256	0	1	0.012515934905999	0.882427924986939	10	2	0.0122124718590494	979	12298000	67
20220531 013348	0	0	0	1	hist	lossguide	256	0	1	0.0266159896136409	0.20137254482469	9	2	0.0173501624713439	910	13106000	68
20220531 013413	0	0	0	1	hist	lossguide	256	0	1	0.15862242266708	0.211512270374579	8	3	0.0182491232379525	69	13180000	69
20220531 013706	0	0	0	1	hist	lossguide	256	0	1	0.0100155895259198	0.204483148925436	10	901	0.0109761681010452	115	12740000	70
20220531 013753	0	0	0	1	hist	lossguide	256	0	1	0.0764060996904257	0.988926843285399	10	764	0.0126016066174907	40	12554000	71
20220531 014124	0	0	0	1	hist	lossguide	256	0	1	0.0101131928246537	0.851226081189526	7	744	0.0142318126434502	162	12848000	72
20220531 014151	0	0	0	1	hist	lossguide	256	0	1	0.29229668067753	0.205716233402343	10	2	0.0220728366663097	120	12667000	73
20220531 014611	0	0	0	1	hist	lossguide	256	0	1	0.0100631693413136	0.306444061115337	6	104	0.0140613481642562	333	12766000	74
20220531 014647	0	0	0	1	hist	lossguide	256	0	1	0.158943366113904	0.451663436927569	9	2	0.017697420335816	194	13093000	75
20220531 014727	0	0	0	1	hist	lossguide	256	0	1	0.242949595924703	0.422011032923839	10	2	0.0185481278812433	232	12881000	76
20220531 014949	0	0	0	1	hist	lossguide	256	0	1	0.0221109993834235	0.211941901386636	10	2	0.0213823989767946	954	13056000	77
20220531 015027	0	0	0	1	hist	lossguide	256	0	1	0.08808922159536	0.200169020018766	7	553	0.0143634876498701	12	12091000	78
20220531 015104	0	0	0	1	hist	lossguide	256	0	1	0.132754181570622	0.256950059872626	7	2	0.0180129575728967	199	13278000	79
20220531 015406	0	0	0	1	hist	lossguide	256	0	1	0.0100931935114164	0.428795681586343	7	1024	0.0107095748224648	92	13137000	80
20220531 015441	0	0	0	1	hist	lossguide	256	0	1	0.0847678640315485	0.201629590761439	10	5	0.0205086955064568	62	12747000	81
20220531 015529	0	0	0	1	hist	lossguide	256	0	1	0.0537259479532782	0.200468849708666	7	11	0.0189254812470687	101	13320000	82
20220531 015925	0	0	0	1	hist	lossguide	256	0	1	0.0100483182673881	0.267089917760586	6	761	0.0221572326849837	234	11132000	83
20220531 020110	0	0	0	1	hist	lossguide	256	0	1	0.0392703699909518	0.93586593745278	8	2	0.0166927174518495	700	13274000	84
20220531 020501	0	0	0	1	hist	lossguide	256	0	1	0.0100377791786021	0.897045650117058	6	437	0.0113841010372861	193	13004000	85
20220531 020532	0	0	0	1	hist	lossguide	256	0	1	0.266986226771014	0.200732008941994	10	465	0.0180315684343671	12	11192000	86
20220531 020715	0	0	0	1	hist	lossguide	256	0	1	0.0394906042243212	0.201639516296074	10	2	0.0378838706752892	709	10684000	87
20220531 021008	0	0	0	1	hist	lossguide	256	0	1	0.0126081289009628	0.531388667080528	9	170	0.0114220550419558	201	13524000	88
20220531 021127	0	0	0	1	hist	lossguide	256	0	1	0.0342498439533353	0.965969206289128	10	2	0.0180062733863867	464	12933000	89
20220531 021201	0	0	0	1	hist	lossguide	256	0	1	0.0704041469106912	0.969480709730703	10	8	0.0178678358971802	44	12704000	90
20220531 021236	0	0	0	1	hist	lossguide	256	0	1	0.0885526026739529	0.41616591648693	10	2	0.0112740112509465	159	11994000	91
20220531 021325	0	0	0	1	hist	lossguide	256	0	1	0.0423207971622836	0.384484955074443	9	6	0.0192037210929793	120	12888000	92
20220531 021410	0	0	0	1	hist	lossguide	256	0	1	0.089924907680679	0.537922037321003	7	739	0.0121123874749257	36	12304000	93
20220531 021445	0	0	0	1	hist	lossguide	256	0	1	0.134253347802537	0.855286055836182	10	1023	0.0200909960496897	22	11798000	94
20220531 021817	0	0	0	1	hist	lossguide	256	0	1	0.0100767984349555	0.483483292359812	9	211	0.0176600193057369	262	12472000	95
20220531 022126	0	0	0	1	hist	lossguide	256	0	1	0.0104973686946191	0.58784263253971	9	3	0.0116609751314711	892	12854000	96
20220531 022204	0	0	0	1	hist	lossguide	256	0	1	0.119175731227903	0.690919872866373	9	2	0.0155870145207586	198	13056000	97
