Feature	Gain	Cover	Frequency
mtarjeta_visa_descuentos	0.000486739455253931	0.00404111270531747	0.00149100736184885
tpaquete9	0.000484510129291147	0.00315200345787348	0.000745503680924425
Visa_msaldodolares	0.000479268925744357	0.00127485341517408	0.00102506756127108
matm_other	0.000364589510230964	0.00101616011959254	0.00111825552138664
internet	0.000352236131092658	0.00131740268807366	0.000559127760693318
cplazo_fijo	0.00031542620221708	0.00189162936278106	0.000559127760693318
mttarjeta_master_debitos_automaticos	0.000293713717206783	0.000404289905664806	0.000279563880346659
minversion1_pesos	0.000282248990621076	0.00209537664582708	0.000279563880346659
tpaquete7	0.000244595712321506	0.00282230942938072	0.000372751840462212
tpaquete1	0.00020815486656161	0.00417390862697145	0.000559127760693318
Master_madelantopesos	0.000198452514307637	0.000185147685272203	0.000559127760693318
Visa_cadelantosefectivo	0.000193030727360101	7.56012608354944e-05	0.000186375920231106
Visa_madelantopesos	0.000184620640628286	9.26838064742911e-05	0.000372751840462212
ccajas_extracciones	0.000163923983374254	0.0010164787903073	0.000279563880346659
ctarjeta_master_debitos_automaticos	0.000163389725229347	0.00118723243357644	0.000372751840462212
minversion2	0.000161193760587018	0.00278967036687801	0.000372751840462212
ctarjeta_visa_descuentos	0.000155000960314911	0.00128549073339897	0.000745503680924425
Visa_madelantodolares	0.000142498481510112	0.000165722236631973	0.000186375920231106
ccheques_emitidos	0.000136818879922295	0.000715384336383744	9.31879601155531e-05
Master_mpagosdolares	0.00011973710143042	0.000139676516100723	0.000372751840462212
Master_mconsumosdolares	0.00011735156010124	0.000241951862257124	0.000745503680924425
mcaja_ahorro_adicional	0.000114841048492745	0.00142522559765873	0.000279563880346659
mforex_sell	6.7406670773406e-05	0.000545766238055902	0.000372751840462212
Master_delinquency	6.05254297419034e-05	0.000315816143281212	0.000186375920231106
Master_msaldodolares	5.56869453189985e-05	0.000228522809038186	0.000279563880346659
cseguro_vida	4.68836760391239e-05	0.000234074860786791	0.000186375920231106
ccajeros_propios_descuentos	3.64343703068273e-05	0.000732309790825126	0.000186375920231106
mcheques_depositados	3.13358812576111e-05	0.000715384336383744	9.31879601155531e-05
ccheques_depositados	2.87216006863277e-05	0.000715384336383744	9.31879601155531e-05
cforex	1.00680341400144e-05	0.000139990698495552	0.000279563880346659
mcajeros_propios_descuentos	2.95607578314805e-06	0.000136368624315176	9.31879601155531e-05
cseguro_vivienda	2.08559749669943e-06	3.87566425620099e-05	9.31879601155531e-05
ctarjeta_visa	3.71425541386024e-11	5.00492554961172e-05	9.31879601155531e-05
Master_madelantodolares	3.12126411243166e-11	1.89855932874698e-05	9.31879601155531e-05
