fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220531 202407	0	0	0	1	auto	depthwise	256	0	1	0.142469426494933	0.311460120696741	7	2	0.0181199435968634	112	13573000	103
20220531 202559	0	0	0	1	auto	depthwise	256	0	1	0.0908932500588562	0.325961475490714	7	2	0.017797328137598	181	13772000	104
20220531 202725	0	0	0	1	auto	depthwise	256	0	1	0.0955870610972171	0.308712598490694	6	2	0.0180918112343255	121	13191000	105
20220531 202821	0	0	0	1	auto	depthwise	256	0	1	0.205083396618581	0.200335702719135	7	2	0.018089874306887	106	13048000	106
20220531 202952	0	0	0	1	auto	depthwise	256	0	1	0.164794005435521	0.43549375712116	7	2	0.0177309731733504	114	13317000	107
20220531 203128	0	0	0	1	auto	depthwise	256	0	1	0.0763261038279484	0.386138251333703	7	2	0.0178772015486334	89	13382000	108
20220531 203250	0	0	0	1	auto	depthwise	256	0	1	0.0929775529375725	0.320420793086065	8	2	0.0176368091793952	106	13289000	109
20220531 203516	0	0	0	1	auto	depthwise	256	0	1	0.0911856324113096	0.341207100134007	7	2	0.0200528172889244	267	13582000	110
20220531 203759	0	0	0	1	auto	depthwise	256	0	1	0.0910939790319017	0.348659896731866	7	7	0.0178560594681793	46	12819000	111
20220531 203913	0	0	0	1	auto	depthwise	256	0	1	0.177883569375815	0.346279158673184	7	2	0.0108808145633501	101	12798000	112
20220531 204151	0	0	0	1	auto	depthwise	256	0	1	0.134293954123644	0.870777601979148	10	2	0.01836082929098	125	13049000	113
20220531 204332	0	0	0	1	auto	depthwise	256	0	1	0.237689646538188	0.401916995808285	5	2	0.0152693710011466	136	12964000	114
20220531 205006	0	0	0	1	auto	depthwise	256	0	1	0.0903747140978764	0.77922214292615	10	20	0.0127759061958793	11	12638000	115
20220531 205112	0	0	0	1	auto	depthwise	256	0	1	0.118661754534626	0.341682400200977	7	2	0.0166314832605157	68	13552000	116
20220531 205332	0	0	0	1	auto	depthwise	256	0	1	0.227284259449388	0.999944547185119	6	2	0.0167866210677051	94	12796000	117
20220531 205653	0	0	0	1	auto	depthwise	256	0	1	0.249750927964678	0.999981659740225	10	5	0.0148153217730351	35	12321000	118
20220531 205936	0	0	0	1	auto	depthwise	256	0	1	0.09240174237439	0.561865132295106	7	2	0.0110456835287594	198	12944000	119
20220531 210016	0	0	0	1	auto	depthwise	256	0	1	0.185954379896555	0.200766207854113	3	2	0.00841281651191569	42	11330000	120
20220531 210250	0	0	0	1	auto	depthwise	256	0	1	0.172937337285205	0.305900833769553	10	30	0.0142150024676843	21	11970000	121
20220531 210351	0	0	0	1	auto	depthwise	256	0	1	0.122407926338362	0.241865398375518	10	2	0.0188948558452824	87	13021000	122
20220531 210538	0	0	0	1	auto	depthwise	256	0	1	0.102093024055849	0.202431104501484	7	2	0.0178865351385171	247	13277000	123
20220531 210737	0	0	0	1	auto	depthwise	256	0	1	0.131806091134505	0.588487235196185	7	2	0.0177578458490334	124	13462000	124
20220531 210911	0	0	0	1	auto	depthwise	256	0	1	0.143695142916409	0.368038776731666	9	2	0.015801429868116	96	13678000	125
20220531 211027	0	0	0	1	auto	depthwise	256	0	1	0.150404539767998	0.397587412217262	10	2	0.0161236564084283	77	13615000	126
20220531 211218	0	0	0	1	auto	depthwise	256	0	1	0.183545164346503	0.704324032365871	9	2	0.015574642673764	96	13300000	127
20220531 211317	0	0	0	1	auto	depthwise	256	0	1	0.138931748041096	0.360379808781691	7	2	0.0153334353059031	51	13245000	128
20220531 211424	0	0	0	1	auto	depthwise	256	0	1	0.149646332218892	0.432671310455812	9	2	0.0175982064972577	58	13294000	129
20220531 211526	0	0	0	1	auto	depthwise	256	0	1	0.187434174157925	0.303064084746533	10	2	0.0124302628495704	70	13151000	130
20220531 211909	0	0	0	1	auto	depthwise	256	0	1	0.0895436873997995	0.795947976589657	9	2	0.0159760371252865	219	13402000	131
20220531 212057	0	0	0	1	auto	depthwise	256	0	1	0.193681037592065	0.59571008156593	6	2	0.0175060526010252	111	13628000	132
20220531 212905	0	0	0	1	auto	depthwise	256	0	1	0.0113944804948398	0.318253091463832	9	2	0.0169433215220686	846	13528000	133
20220531 213042	0	0	0	1	auto	depthwise	256	0	1	0.192882734874717	0.64458353790932	6	2	0.0216218769786601	72	13184000	134
20220531 213241	0	0	0	1	auto	depthwise	256	0	1	0.198622872476006	0.672308649613248	5	2	0.0178565218668472	113	12981000	135
20220531 213443	0	0	0	1	auto	depthwise	256	0	1	0.0904038910518703	0.373750040154235	9	2	0.0158754661672741	184	13920000	136
20220531 213531	0	0	0	1	auto	depthwise	256	0	1	0.231058469035638	0.37172622861171	9	2	0.00879185966212203	37	12034000	137
20220531 213645	0	0	0	1	auto	depthwise	256	0	1	0.266622390975832	0.608159810585552	6	2	0.0166887053990445	54	13207000	138
20220531 213829	0	0	0	1	auto	depthwise	256	0	1	0.115632488246148	0.352720103760561	7	2	0.0263421950245053	161	12620000	139
20220531 214058	0	0	0	1	auto	depthwise	256	0	1	0.0825852224548191	0.343924173662	9	2	0.0126736093468742	271	13648000	140
