fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220530 231249	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	189	TRUE	111599	0.0270306510975137	0.660806994831029	7999	954	0.016084428657869	13361000	71
20220530 231401	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	188	TRUE	111599	0.0100044017964402	0.425608073259667	1339	36	0.015806188678124	13532000	72
20220530 231526	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	686	TRUE	111599	0.0147895615166527	0.202056018827065	3390	137	0.014379908723124	13329000	73
20220530 231658	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	205	TRUE	111599	0.010337438196532	0.539964311233123	1292	352	0.0154603446187717	13415000	74
20220530 231823	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	501	TRUE	111599	0.0101051580187368	0.2558935691615	1976	20	0.0153066408567347	13443000	75
20220530 231852	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	207	TRUE	111599	0.0224173513535187	0.985304546959693	2009	17	0.0175213332022142	12583000	76
20220530 231929	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	250	TRUE	111599	0.0295783861707617	0.257433778541879	7992	1005	0.0132749145716821	13244000	77
20220530 232057	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	329	TRUE	111599	0.0100034303427206	0.314925433216478	1628	231	0.0151454915526519	13360000	78
20220530 232139	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	148	TRUE	111599	0.0269804147184941	0.528463001302443	7996	1022	0.0227528094546785	12137000	79
20220530 232329	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	636	TRUE	111599	0.010140895773517	0.387403361709637	4525	82	0.0130305213419682	13415000	80
20220530 232438	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	326	TRUE	111599	0.0117390506118566	0.233993683597559	3939	66	0.0141037133424515	13165000	81
20220530 232604	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	499	TRUE	111599	0.0102095479954015	0.744173117238441	4645	593	0.0128764172883232	12969000	82
20220530 232612	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	20	TRUE	111599	0.275358152300352	0.953082677426255	7998	1024	0.0150354524309056	13123000	83
20220530 232715	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	568	TRUE	111599	0.0128149364329945	0.996649271468169	7779	1024	0.0132870760394614	13034000	84
20220530 232836	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	507	TRUE	111599	0.0101632557748355	0.210179674093702	1318	21	0.0199201940580206	13057000	85
20220530 232936	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	333	TRUE	111599	0.0130386522037812	0.999509865414975	2932	904	0.0128564017393644	13307000	86
20220530 233000	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	129	TRUE	111599	0.0432132633947718	0.99781601120997	3357	153	0.0131688609110171	13242000	87
20220530 233010	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	22	TRUE	111599	0.295850141341397	0.261162809137539	2932	943	0.0145061544984335	11787000	88
20220530 233123	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	650	TRUE	111599	0.0111688460985818	0.990409969784653	5446	1024	0.0138677632811679	12997000	89
20220530 233148	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	85	TRUE	111599	0.0519380916657896	0.995874843327412	3670	1022	0.0126996905553737	13019000	90
20220530 233156	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	18	TRUE	111599	0.299503665251744	0.203889202116381	8000	970	0.0165683605462358	12810000	91
20220530 233213	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	95	TRUE	111599	0.102280644871341	0.313065690533824	2254	16	0.0197598095812667	13277000	92
20220530 233318	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	276	TRUE	111599	0.0116212335483993	0.966080183998961	2280	1024	0.0137287348489815	13398000	93
20220530 233506	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	482	TRUE	111599	0.0101655942344038	0.436411476226651	2220	1004	0.012751875477706	13428000	94
20220530 233516	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	21	TRUE	111599	0.248712856643496	0.349126843800588	3512	17	0.0178100046341156	11968000	95
20220530 233632	binary	custom	TRUE	TRUE	FALSE	-100	111599	-1	0	0	0	31	396	TRUE	111599	0.0153206831745418	0.418026035801461	3009	36	0.0133099826203229	13636000	96
